date;wert
2023-07-14 15:14:29;2356.2
2023-07-15 15:14:29;2371.2
2023-07-16 15:14:29;2386.2
2023-07-17 15:14:29;2401.2
2023-07-18 15:14:29;2416.2
2023-07-19 15:14:29;2431.2
2023-07-20 15:14:29;2446.2
2023-07-21 15:14:29;2461.2
2023-07-22 15:14:29;2476.2
2023-07-23 15:14:29;2491.2
2023-07-24 15:14:29;2506.2
2023-07-25 15:14:29;2521.2
2023-07-26 15:14:29;2536.2
2023-07-27 15:14:29;2551.2
2023-07-28 15:14:29;2566.2
2023-07-29 15:14:29;2581.2
2023-07-30 15:14:29;2596.2
2023-07-31 15:14:29;2611.2
2023-08-01 15:14:29;2626.2
2023-08-02 15:14:29;2641.2
2023-08-03 15:14:29;2656.2
2023-08-04 15:14:29;2671.2
2023-08-05 15:14:29;3686.2
2023-08-06 15:14:29;2491.2
2023-08-07 15:14:29;1491.2
2023-08-10 15:14:29;0491.2
2023-08-11 15:14:29;0499.2
