date;wert
2023-07-14 15:14:29;3356.2
2023-07-15 15:14:29;3416.2
2023-07-16 15:14:29;3436.2
2023-07-17 15:14:29;3546.2
2023-07-18 15:14:29;3516.2
2023-07-19 15:14:29;3626.2
2023-07-20 15:14:29;3636.2
2023-07-21 15:14:29;3746.2
2023-07-22 15:14:29;3756.2
2023-07-23 15:14:29;3866.2
2023-07-24 15:14:29;3876.2
2023-07-25 15:14:29;3986.2
2023-07-26 15:14:29;3996.2
2023-07-27 15:14:29;4006.2
2023-07-28 15:14:29;4016.2
2023-07-29 15:14:29;4116.2
2023-07-30 15:14:29;4156.2
2023-07-31 15:14:29;426.2
2023-08-01 15:14:29;4256.2
2023-08-02 15:14:29;4306.2
2023-08-03 15:14:29;4356.2
